2313941504;WAOU1;1;974396.38:330400.94:971804.94:336031.78:964637.38:343346.50:24584.99:21403.60
2313941563;WAOU1;2;989148.75:327176.00:971512.25:332005.63:964739.63:339727.97:20011.59:17306.40
2313941623;WAOU1;3;990000.00:327210.22:971721.25:331295.03:964660.06:339555.19:19643.14:16755.73
2313941683;WAOU1;4;990000.00:327162.31:971694.56:331367.38:964550.75:339336.97:19696.48:16668.63
2313941743;WAOU1;5;990000.00:327018.34:971558.06:331327.84:964754.50:339268.88:19394.59:16601.48
2313941504;WAOU1;1;974274.19:328704.09:971516.13:336547.63:964509.13:342224.03:23214.81:20113.44
2313941563;WAOU1;2;989961.31:327127.97:971558.06:331833.09:964611.06:339300.38:19763.99:16842.71
2313941623;WAOU1;3;990000.00:327187.94:971611.06:331462.28:964596.00:339474.81:19491.13:16556.51
2313941683;WAOU1;4;990000.00:327148.63:971751.69:331212.31:964599.63:339286.34:19594.87:16661.55
2313941743;WAOU1;5;990000.00:327203.38:971785.94:331308.84:964569.63:339422.41:19638.18:16809.66
2313941803;WAOU1;6;990000.00:327045.84:971702.25:331234.75:964528.38:339314.31:19780.04:16899.83
2313941504;WAOU1;1;974304.69:330542.22:971569.38:335792.22:964686.50:342858.72:24035.50:20867.56
2313941563;WAOU1;2;987966.00:327235.97:971386.94:331764.03:964535.69:338965.44:19651.16:16775.67
2313941623;WAOU1;3;990000.00:327112.50:971455.38:331107.16:964516.69:338520.88:19096.83:16187.59
2313941683;WAOU1;4;990000.00:327102.25:971603.63:330919.28:964516.69:338536.47:18933.03:15948.73
2313941743;WAOU1;5;990000.00:327004.75:971835.25:330924.47:964528.38:338538.34:18982.36:15982.60
2313941803;WAOU1;6;990000.00:327136.59:971645.13:330955.50:964407.38:338590.50:19160.21:16232.56
2313941863;WAOU1;7;990000.00:327023.66:971877.06:331098.53:964369.75:338526.06:19668.27:16804.71
2313941923;WAOU1;8;990000.00:327069.69:971892.25:331067.50:964373.50:338845.06:19144.16:16282.48
2313941983;WAOU1;9;990000.00:327018.34:971713.69:331045.09:964350.94:338834.69:19408.75:16431.54
2313942043;WAOU1;10;990000.00:327093.75:971861.81:331120.97:964392.25:338895.72:19328.27:16362.49
2313942103;WAOU1;11;990000.00:327014.91:971869.38:331110.59:964441.25:338876.47:19614.93:16639.60
